Time, x Vel, y Vel, Vel
726,0.031782,-0.103030,-0.103030
727,0.026955,-0.043039,-0.043039
728,0.014000,-0.032000,-0.032000
729,0.020882,0.051645,0.051645
730,0.034218,0.117030,0.117030
731,0.039184,0.116980,0.116980
732,0.054000,0.066000,0.066000
733,-0.032545,0.101919,0.101919
734,-0.036000,0.090000,0.090000
735,-0.088081,0.010788,0.010788
736,-0.144000,0.032000,0.032000
737,-0.090687,-0.041313,-0.041313
738,-0.083366,-0.084257,-0.084257
739,-0.034343,-0.086869,-0.086869
740,0.012000,-0.098000,-0.098000
741,0.050505,-0.135354,-0.135354
742,0.043164,-0.112611,-0.112611
743,0.034343,-0.078788,-0.078788
744,0.034000,-0.022000,-0.022000
745,-0.005581,0.017162,0.017162
746,-0.023362,0.025483,0.025483
747,-0.022222,0.028283,0.028283
748,-0.028000,0.024000,0.024000
749,0.015762,-0.058495,-0.058495
750,0.061746,-0.086089,-0.086089
751,0.060606,-0.109091,-0.109091
752,0.074000,-0.128000,-0.128000
753,0.062000,-0.010000,-0.010000
754,0.025818,0.005475,0.005475
755,-0.002580,0.044904,0.044904
