Time, x COM, y COM, COM
781,53.260000,4.140000,53.420663
782,53.420000,4.360000,53.597631
783,53.540000,4.090000,53.695993
784,53.630000,4.480000,53.816794
785,53.722772,4.435644,53.905577
786,53.818182,4.494949,54.005567
787,53.797980,4.484848,53.984595
788,53.801980,4.504950,53.990255
789,53.710000,4.700000,53.915249
790,53.742574,4.811881,53.957562
791,53.800000,4.930000,54.025410
792,53.950000,4.890000,54.171160
793,53.948980,5.071429,54.186823
794,53.720000,5.020000,53.954043
795,53.680000,4.800000,53.894178
796,53.710000,4.740000,53.918751
797,53.666667,4.767677,53.878028
798,53.683168,4.930693,53.909130
799,53.666667,5.111111,53.909504
800,53.489796,5.204082,53.742355
801,53.295918,5.428571,53.571674
802,53.240000,5.750000,53.549604
803,53.130000,5.970000,53.464360
804,53.161616,5.939394,53.492372
805,53.180000,5.790000,53.494266
806,53.252525,5.838384,53.571617
807,53.272727,5.828283,53.590599
808,53.232323,5.838384,53.551536
809,53.257426,5.623762,53.553526
810,53.191919,5.555556,53.481253
811,53.200000,5.410000,53.474369
812,53.250000,5.620000,53.545746
813,53.181818,5.585859,53.474364
814,53.353535,5.636364,53.650427
815,53.168317,5.722772,53.475415
816,52.898990,5.787879,53.214685
817,52.990000,5.730000,53.298902
818,52.584158,5.742574,52.896795
